end,middle,start
230,134,4
252,150,2
256,130,3
218,125,3
256,129,4
260,130,3
261,130,3
264,132,3
315,145,3
261,130,3
269,130,3
271,142,4
269,135,4
299,160,3
272,160,4
262,134,3
262,132,3
266,138,3
340,130,3
262,132,3
261,130,3
260,130,3
260,135,3
262,130,3
260,142,3
260,130,3
332,151,3
283,169,3
263,145,3
263,133,3
263,141,3
280,130,3
260,130,3
260,145,4
278,190,4
315,153,3
304,141,3
341,193,4
298,154,4
294,150,4
368,142,4
299,150,3
285,142,3
344,135,4
275,145,3
260,130,3
380,130,3
267,134,3
261,130,3
271,131,3
280,130,3
261,131,3
361,134,3
261,134,3
282,130,3
291,130,3
261,135,3
260,130,3
260,153,3
262,130,3
267,130,3
266,130,4
260,143,3
262,130,3
262,133,3
326,131,3
261,134,3
262,130,3
264,342,8
473,239,6
590,242,4
444,204,7
499,184,4
389,180,5
369,196,4
456,135,3
347,130,3
260,130,3
260,130,3
262,139,3
263,130,3
264,131,3
268,132,3
260,134,3
260,130,3
269,189,3
260,132,3
260,131,3
296,132,5
274,130,3
265,134,3
262,130,3
268,157,3
265,130,3
260,133,3
264,133,3
260,130,3
260,130,3
260,150,4
406,135,4
