end,middle,start
773.159,384.045,15.885
783.824,350.048,15.624
827.951,421.886,15.664
873.732,387.931,0
774.946,366.934,0
711.391,382.499,15.625
742.949,351.424,15.616
733.939,359.351,15.625
719.119,375.049,0
749.262,375,15.625
750.294,383.629,15.636
819.956,352.47,15.64
695.119,351.399,15.625
726.994,367.018,15.633
742.284,366.973,15.615
725.795,383.633,0
828.756,410.029,3.695
949.929,445.251,15.626
723.091,359.703,15.671
718.86,433.712,11.644
897.167,443.383,20.186
1581.7,639.777,30.913
1038.27,528.323,15.627
909.913,421.87,0
982.99,485.114,15.625
1021.81,467.483,17.413
844.101,450.295,12.36
853.261,390.664,15.627
907.828,510.458,12.423
991.511,457.661,12.756
1063.76,500.409,15.626
906.258,468.745,0
921.87,438.033,15.601
874.665,446.493,13.448
874.407,420.01,11.346
792.017,438.023,12.295
834.252,388.101,10.469
796.207,459.749,13.32
976.226,429.236,13.269
1036.75,418.135,11.323
814.432,390.637,11.997
837.082,376.222,10.247
816.669,415.723,10.344
855.925,426.479,11.261
833.154,423.734,11.994
929.039,497.847,17.409
967.258,435.849,11.32
852.351,407.086,11.319
830.972,427.183,11.326
820.565,404.914,10.318
849.948,446.896,11.324
841.973,427.261,11.32
932.971,428.313,11.182
860.862,413.631,10.305
945.724,439.162,10.731
845.786,409.584,10.374
847.898,439.372,12
852.04,417.001,12.039
856.66,452.643,12.001
847.68,439.619,11.424
845.524,419.649,11.367
847.997,418.614,11.369
863.588,449.108,12.357
853.87,438.352,12.001
903.851,585.706,14.997
946.663,430.013,10.382
864.951,432.104,11.439
851.327,434.229,11.38
867.46,440.978,10.956
871.201,442.116,12.342
914.553,455.826,13.002
953.822,461.201,12.271
979.463,475.454,12.394
938.897,449.3,12.271
956.339,449.973,11.71
899.016,452.943,11.993
897.016,449.301,12.282
942.228,475.127,13
935.127,451.272,11.383
907.781,450.284,11.375
938.321,505.868,12.506
955.912,465.286,11.34
893.54,450.689,13.209
955.862,462.881,12.384
922.964,470.237,12
884.95,454.276,12.674
954.184,595.687,15.284
1444.9,716.555,14.782
1114.98,650.629,15.285
1036.72,451.237,12.261
966.702,528.142,14.31
1050.25,505.377,13.404
1051.98,465.523,12.999
945.768,452.481,11.993
1013.65,652.6,20.11
1224.15,501.389,11.613
906.93,463.262,11.999
918.798,465.484,12.215
930.766,464.214,12.955
917.854,448.67,12.39
