end,middle,start
412,279,6
547,239,17
518,252,6
516,238,6
475,246,5
492,359,5
477,216,6
496,241,6
474,236,6
414,220,6
464,206,6
497,279,7
413,254,6
490,247,6
498,252,6
484,246,7
514,248,6
476,283,7
507,389,12
803,252,6
501,250,6
542,250,8
509,252,6
507,252,6
505,250,6
543,280,6
508,251,6
501,252,6
500,371,6
502,251,6
501,250,6
503,251,8
511,252,6
584,251,6
512,255,6
507,253,6
501,250,6
1403,446,6
566,295,7
507,575,10
778,282,7
668,269,7
552,317,20
598,253,6
503,253,6
530,286,7
693,252,6
500,252,6
526,256,6
599,274,6
515,255,6
513,250,6
526,381,7
670,256,6
509,251,6
502,260,7
500,253,6
606,251,6
502,283,6
666,251,6
509,250,6
514,251,6
503,296,11
555,276,7
587,481,9
540,299,9
578,272,7
584,276,7
503,289,8
563,280,7
563,364,6
528,334,8
620,298,6
500,255,8
681,256,6
506,250,6
519,250,7
510,354,6
502,274,7
803,290,7
539,449,9
568,250,8
567,295,7
679,267,6
505,261,6
518,251,6
516,447,7
555,265,6
722,384,7
514,250,6
501,254,6
501,259,8
506,279,6
503,251,6
502,292,6
652,300,7
509,251,6
502,252,6
842,255,6
505,261,6
