end,middle,start
210,110,2
208,106,2
276,142,3
283,112,2
245,114,3
226,127,2
266,237,2
234,116,2
234,110,2
218,109,2
206,120,2
209,105,2
223,103,2
236,112,3
245,118,2
242,110,2
288,139,2
293,129,2
227,120,3
246,134,4
291,158,3
302,151,3
280,134,3
269,133,3
304,237,5
318,165,4
333,186,4
334,150,3
279,135,3
254,123,3
240,119,3
233,115,2
230,115,3
231,115,2
230,115,2
231,117,2
233,116,3
232,119,3
233,117,2
232,118,3
240,125,3
253,134,3
271,133,3
264,127,3
248,125,3
516,347,11
745,799,31
1139,349,9
920,449,13
653,370,10
608,304,11
620,311,5
591,312,8
433,173,4
323,152,3
348,189,7
344,200,4
321,154,4
278,130,3
261,129,3
249,126,3
252,124,3
250,125,3
255,130,3
248,125,3
250,120,3
251,123,3
289,134,3
260,125,3
325,139,3
264,128,3
248,120,3
236,115,2
230,116,2
225,111,2
226,115,3
228,119,3
237,116,2
241,118,2
240,115,3
229,120,2
230,115,2
230,115,2
228,112,2
227,123,3
242,119,3
239,122,3
262,136,3
259,130,3
266,187,5
367,168,4
298,137,3
285,139,3
271,139,3
265,142,3
264,130,3
348,217,6
396,168,3
318,159,3
390,340,5
