end,middle,start
174.9619,87.0052,2.4287
175.4338,86.1232,2.2472
192.5781,91.9639,2.3992
172.6806,88.0906,2.4681
172.7806,88.1393,2.2635
172.0992,86.5294,2.2342
173.3791,85.7370,2.3068
175.1987,86.9273,2.3791
179.5495,88.1075,2.2734
174.0722,86.4837,2.3169
178.0154,88.8007,2.3215
173.7352,86.9946,3.3406
176.1300,89.0634,2.3614
174.7418,90.1087,2.2604
175.2804,89.3738,2.2814
176.9407,90.9693,2.3377
178.5164,89.5828,2.3064
180.5435,94.1975,2.5176
183.2974,93.3189,2.3102
180.7567,96.5521,2.4306
178.6363,92.1370,2.3540
183.8964,90.7720,2.3033
181.2383,89.8943,2.3887
180.2709,92.7654,2.3020
182.2704,92.2979,2.3934
183.5493,94.4869,2.5001
179.7074,93.4788,2.4847
181.9259,90.7238,2.4400
190.8590,92.6247,2.5874
185.5892,97.0201,2.3893
180.1867,91.8392,2.3226
186.5689,94.5119,2.7045
190.7593,90.3288,2.3742
184.6168,94.2973,2.4932
188.7218,94.4255,2.5408
188.6379,94.0503,2.4373
188.0300,95.2249,2.3926
182.5181,92.1494,2.2797
179.1848,91.8426,2.3519
185.3281,94.9818,2.4599
188.1987,94.5766,2.4510
189.2407,95.7331,2.4710
187.2405,94.6059,2.5233
189.1275,95.2443,2.4671
190.4747,94.5349,2.4274
189.6924,90.2482,2.3278
180.4462,90.9041,2.4398
178.6379,89.2505,2.3155
187.2501,95.1364,2.4799
190.3410,96.7456,2.4687
215.1372,90.2054,2.3196
186.6728,91.7329,2.3826
190.9240,96.4133,2.4710
192.0198,101.3961,4.6523
186.7747,93.9342,2.8782
186.3506,95.1291,2.4789
190.7572,96.3428,2.5771
191.5929,96.1529,2.4043
190.8629,92.8765,2.3148
190.7664,96.2690,2.4995
191.2977,97.2112,2.4931
186.4295,97.1740,2.6036
192.2204,96.9599,2.5022
191.2791,96.1215,2.5797
191.2005,96.9041,2.6434
188.4857,90.9220,3.0154
189.0886,96.3466,2.5626
193.2315,95.2349,2.3258
195.7599,103.0842,2.5472
193.7235,91.2999,2.3357
188.7779,109.2905,2.6806
188.3413,96.7745,2.4970
194.7356,97.4621,2.5733
192.5116,91.5913,2.3698
179.5858,91.5725,2.3182
179.8035,90.1557,2.5742
181.6116,95.7830,2.4996
187.6635,89.6143,2.6294
208.9540,106.1209,2.7272
227.3305,103.7092,2.6296
254.9373,132.6843,2.7970
230.5974,115.0551,2.3199
262.5645,118.7899,2.9128
222.1361,96.1021,2.6765
179.7425,93.4803,2.5531
194.0830,101.5405,2.6257
200.8503,116.5825,2.7604
217.6494,112.9752,4.4959
220.0504,93.3842,2.3178
183.2776,91.6239,2.2986
183.6444,98.2133,2.6113
203.1486,103.1360,2.6041
196.3801,101.7566,2.7157
186.7788,91.9266,2.3417
192.4402,100.6583,2.6189
190.8401,100.8597,2.6397
202.8671,100.7002,2.6217
201.2631,91.9573,2.4070
182.2830,92.0725,2.5800
190.9332,98.8926,2.5585
