end,middle,start
90.8620,55.8510,12.7420
86.9620,43.7220,1.2160
88.4730,44.3450,1.2210
88.9320,47.6150,1.1620
89.8060,45.6600,1.1920
92.9900,44.4850,1.1740
89.6840,46.0240,1.2550
91.8450,58.2050,1.8720
130.1440,61.6230,1.8850
128.6520,47.4130,1.2230
90.0260,45.6630,1.1750
93.7770,50.0250,1.3970
90.9520,45.9790,1.1940
91.8750,46.3060,1.1750
94.4230,47.2740,1.1960
94.8590,50.5150,1.2330
95.6110,49.4270,1.2730
107.5740,48.8330,1.2970
94.6630,53.8060,1.5090
119.7580,60.6380,1.7020
119.6460,59.8770,1.7770
120.3380,49.2380,1.2390
97.0190,47.7490,1.1930
98.1870,48.1960,1.2280
94.6360,47.2090,1.2330
96.0830,48.0120,1.2400
94.1480,47.4450,1.2030
94.7620,47.2560,1.2470
94.8560,47.4830,1.2510
96.5250,47.6720,1.2640
94.9710,47.5850,1.3610
94.4890,49.5990,1.1430
94.8030,50.3020,1.2930
94.9790,47.8750,1.2450
95.4320,48.5150,1.2760
94.9340,49.2430,1.2250
97.5100,48.0430,1.4910
94.8350,47.3520,1.2280
95.5520,49.2130,1.3270
94.9940,48.0580,1.2400
97.2550,47.9230,1.2600
96.7050,56.3300,1.2220
95.3190,47.4840,1.2330
94.5530,49.2270,1.2500
94.8150,48.5840,1.2910
94.6770,47.5170,1.3890
95.2960,48.0290,1.2330
95.7860,49.5470,1.3290
94.2910,47.2410,1.2400
95.9180,47.7740,1.2260
95.2410,47.9150,1.2310
97.1010,47.4250,1.2010
116.3200,62.2000,1.9960
135.0520,67.0500,2.4140
132.8360,72.8430,1.5050
131.2680,54.5370,2.4010
102.7140,51.5740,1.2290
102.1640,53.4210,1.2050
108.7110,56.1290,1.3750
127.8690,100.5520,2.4680
159.1960,62.3770,1.3930
110.6180,51.4630,1.2750
96.7990,49.0400,1.2550
97.6750,50.7100,1.3340
95.3570,47.9030,1.2230
96.1290,48.3250,1.2510
106.8940,54.0650,1.4640
97.4920,47.9330,1.2350
97.5850,52.5910,1.9410
115.7910,53.6070,1.3370
99.5540,58.8130,1.6140
107.1780,50.9610,1.2660
99.8460,50.0810,1.6280
113.8740,86.8780,1.3570
100.3300,77.0410,2.2340
134.3530,50.1590,1.2290
95.1950,50.5160,1.2260
99.4840,49.5750,1.2900
97.8390,49.4080,1.2470
99.9240,49.8690,1.2550
99.1030,50.5570,1.3510
95.9930,47.7740,1.2430
94.3130,47.3870,1.2220
97.2630,48.0900,1.2180
94.7780,47.8590,1.2160
95.1350,48.2620,1.2250
95.9480,47.9200,1.2380
94.4210,48.1700,1.2230
94.8840,47.9650,1.2430
97.0140,49.3210,1.2710
100.1540,49.9650,1.3500
99.4870,49.5990,1.3110
99.3960,47.9970,1.2460
95.8190,48.4400,1.2350
95.1550,48.4490,1.3330
95.4340,47.8010,1.2220
98.1050,49.6330,1.2800
107.1570,55.4080,1.2860
100.6940,50.2710,1.2970
100.3220,50.0820,1.4100
