end,middle,start
579.1620,284.6250,7.7040
570.2900,286.5980,7.6340
580.9070,294.3710,7.7280
571.3310,289.2250,7.7230
586.3930,345.8580,11.1840
653.9070,296.8490,8.5150
596.7880,298.7770,8.1530
586.4060,290.8700,7.8010
576.4410,286.7960,7.7010
608.5050,289.6030,7.6270
591.0460,295.5770,8.0620
595.4850,290.0310,7.7790
606.7780,286.5220,7.6540
569.2770,292.0990,7.7180
571.8580,287.1640,7.6630
577.1100,335.7750,7.7220
609.9460,312.4860,8.2810
623.4240,303.5100,7.6810
572.7710,286.6200,7.4730
626.5930,322.2140,8.5440
644.4240,325.1590,8.6300
643.3030,324.2910,8.5590
636.2970,317.6240,8.4440
637.3400,318.0620,8.5140
635.4720,318.3690,8.3440
642.1100,325.6690,8.6800
596.5030,323.8820,8.7020
651.0570,327.3010,8.8410
642.2380,321.5680,8.4220
627.5820,320.8850,8.6830
642.3490,320.1930,8.6500
656.0540,300.5800,7.5840
634.1830,323.9280,8.4660
643.6650,319.6530,8.6450
618.8780,315.0210,8.6460
658.4590,329.8300,8.9240
660.5890,329.0450,8.8010
657.0270,330.3670,8.7180
673.0170,332.9180,8.6560
657.2470,329.5580,9.0380
616.0770,288.4550,7.7210
585.9630,324.2730,8.6200
648.1320,323.3820,8.6510
647.7090,313.2640,8.6770
657.6100,330.8540,8.8770
646.0040,325.3820,8.5220
639.2600,325.0820,8.4450
644.2510,324.0630,8.7550
644.0310,322.2760,8.5930
643.3750,322.6220,8.5980
644.8180,323.4740,8.8400
643.8750,304.7520,7.8190
574.2430,286.9940,8.9130
573.9900,286.8430,7.8830
637.1610,332.0710,8.8730
608.3670,310.9130,8.6250
648.5170,325.1060,8.6930
647.7910,324.4730,8.7930
649.8370,331.5980,8.7000
663.7860,332.1690,8.8200
624.2400,312.9890,8.2480
652.8010,332.4970,8.8360
667.6070,332.7400,8.8350
661.1410,329.4270,7.6090
583.3540,331.5570,8.9010
662.4030,330.7350,8.8900
660.3050,306.0070,7.6270
574.3910,289.5610,7.8250
575.7490,287.4970,7.5630
576.3920,318.2620,8.6090
634.9070,309.9540,8.9370
667.2070,322.6380,8.7560
653.2970,327.6930,8.5890
653.8810,326.7940,8.9430
651.7050,325.2620,8.6680
657.6190,325.2870,8.7810
650.0370,325.3060,8.7150
617.2290,289.3820,7.6280
585.6050,326.7110,9.0670
696.9120,360.8000,9.7540
721.0910,357.6300,9.4790
721.5430,357.6940,9.7730
717.9730,362.3050,9.4570
720.8030,356.9120,9.7200
715.6060,360.7410,9.4700
713.6420,357.0970,10.3470
714.0870,357.8240,9.3610
715.6760,360.9940,9.4280
711.3080,361.2800,9.7950
710.4070,360.0550,9.4060
710.9030,355.4530,9.7470
717.1400,357.3780,9.4860
713.5840,353.4160,9.4400
713.1120,360.0520,9.4240
709.9230,353.5820,9.3700
714.2360,360.4730,9.5130
710.7470,356.5560,9.7540
709.5690,359.5770,9.4750
710.6480,358.0700,9.6040
727.8580,364.5710,10.6290
